DPIB015_SL|OE_HOGER_N|OE_KORT|OE_VOL_NM
----------|----------|-------|--------------------------------------------------
         1|          |HOE    |Hoogste organisatorische eenheid
         2|         1|VERNM  |Vereniging Natuurmonumenten
         3|       147|DIRS   |Directie- en Ver. secret.
         4|        10|JURZ   |Juridische Zaken
         7|        10|P&O    |Personeel en Organisatie
         8|       144|BNL    |Natuurbeheer
         9|       144|COMM   |Comm., Fondsenw., Ledens.
        10|       145|A&F    |Financiën en Bedrijfsvoering
        11|        10|FACZ   |Facilitaire Zaken
        12|         2|IGFD   |Regio Gron./Fr./Drenthe
        13|         2|IOF    |Regio Overijssel/Flevol.
        14|         2|IG     |Regio Gelderland
        15|         2|INHU   |Regio N-Holland/Utrecht
        16|         2|IZHZ   |Regio Z-Holland/Zeeland
        17|         2|INBL   |Regio N-Brabant/Limburg
        19|         8|N&M    |Natuur en Landschap
        20|         8|IN&K   |Kwaliteitszorg Natuurbeh.
        26|        10|P&C    |Planning en Control
        27|        10|ICT    |Informatie en Comm.Techn.
        28|        10|FA     |Financiële Administratie
        29|        10|VA     |Vastgoed en Projecten
        30|         9|VRL    |Communicatie
        31|         9|MARK   |Fondsenwerving
        32|         9|LEDS   |Ledenservice
        33|        12|GNOD   |Groningen en N-Drenthe
        34|        12|WAD    |Waddengebied
        36|        12|NDOG   |Noordenveld
        37|        12|ZWFR   |Zuidwest-Friesland
        40|        12|BCDW   |BC Dwingelderveld
        41|        13|WIED   |De Wieden c.a.
        42|        13|SALL   |Salland
        43|        13|TWEN   |Noordoost-Twente
        44|        13|BUUR   |Zuid-Twente
        45|        13|VBOS   |Voorsterbos c.a.
        46|        13|HBOS   |Harderbos c.a.
        47|        13|BCWI   |BC De Wieden
        48|        14|NWVL   |Noordwest-Veluwe
        50|        14|OVL    |Oost-Veluwe
        51|        14|VLZM   |Veluwezoom
        52|        14|GRSC   |De Graafschap
        54|        14|MONT   |Montferland
        55|        14|BCVZ   |BC Veluwezoom
        56|        15|NMR    |Naardermeer
        58|        15|VPL    |Vechtplassen
        59|        15|GRBP   |'s-Gravelandse Buitenpl.
        60|        15|OUT    |Utrecht
        62|        15|WJV    |Wormer- en Jisperveld ca
        64|        15|NHND   |Noord-Holland Noord
        65|        15|LHRZ   |Haarzuilens
        66|        15|BCGR   |BC 's-Graveland
        67|        16|NK     |Nieuwkoop
        68|        16|DK     |Deltakust
        96|       145|PROT   |Projectmanagement
        71|        16|HKV    |Haringvliet/Krammer Volk.
        72|        16|TGEM   |Tiengemeten
        73|        17|WBR    |West-Brabant
        74|        17|MBR    |Midden-Brabant
        76|        17|STB    |Stippelberg
        77|        17|NBMK   |Noordoost-Brabant & Mook
        78|        17|KPML   |Kempen & Midden-Limburg
        79|        17|ZLB    |Zuid-Limburg
        80|        17|BCOW   |BC Oisterwijk
        81|        17|BCBR   |BC Brunssummerheide
        49|        14|ZWVL   |Zuidwest-Veluwe
        53|        14|WINT   |Winterswijk
        61|        15|KL     |Kennemerland
        82|       145|VERW   |Adj-dir. Verwervingen
        84|         1|NHL    |Stichting Noordhollands Landschap
        85|         1|PF     |Stichting Pensioenfonds Ver. Natuurmonumenten
        98|         2|ALOH   |Algemeen overhead
        99|       145|RUIL   |Ruilgronden/prod.rechten
       149|       153|VERK   |Verkoopartikelen NM B.V.
       151|       144|EXTBEL |Extern Beleid
       153|         1|PARTNM |Stichting Participaties NM
       154|       153|COMMACT|Hmij. Comm.Act. NM B.V.
       155|       153|HORECA |Horeca-Exploitatie NM B.V.
       156|         2|HULP   |Hulpeenheid voor P&C
       137|        16|SCHEL  |Schelde
       139|        16|DL     |Delfland
       140|        12|ZDR    |Zuid-Drenthe
       141|         1|DIVNA  |Diverse (niet-actief voor overzichten)
       145|       144|HFDKEXC|Hoofdkantoor (excl. afd. JS + Comm)
       144|         2|HOOFDK |Hoofdkantoor totaal
       148|        10|OR     |Ondernemingsraad
       147|       145|DIR    |Directie algemeen
